microseconds, optical_contrast
1.600000000000000033e-01 -9.454861446046236573e-01
1.625000000000000056e-01 -8.637388826811016607e-01
1.650000000000000078e-01 -9.205414775317182219e-01
1.675000000000000100e-01 -1.215189956846338903e+00
1.700000000000000122e-01 -1.144618748003063180e+00
1.725000000000000144e-01 -1.251106608658671959e+00
1.749999999999999889e-01 -1.657523659487937229e+00
1.774999999999999911e-01 -1.709888457943857576e+00
1.799999999999999933e-01 -1.991539008664558130e+00
1.824999999999999956e-01 -2.268297428861644427e+00
1.849999999999999978e-01 -2.502519176249978106e+00
1.875000000000000000e-01 -2.788590905753802751e+00
1.900000000000000022e-01 -2.942686112931152564e+00
1.925000000000000044e-01 -3.340160653838347926e+00
1.950000000000000067e-01 -3.634481340920868497e+00
1.975000000000000089e-01 -3.828214067379353214e+00
1.999999999999999833e-01 -4.219027852766200404e+00
2.024999999999999856e-01 -4.713425200099012891e+00
2.049999999999999878e-01 -4.901838725449378487e+00
2.074999999999999900e-01 -5.066455179645799056e+00
2.099999999999999922e-01 -5.372220803505965314e+00
2.124999999999999944e-01 -5.560427358394846031e+00
2.149999999999999967e-01 -5.632410007711561306e+00
2.174999999999999989e-01 -5.990464142268265846e+00
2.200000000000000011e-01 -6.010962321557038912e+00
2.225000000000000033e-01 -6.259210724891777211e+00
2.250000000000000056e-01 -6.243173064618002144e+00
2.274999999999999800e-01 -6.333970912216195792e+00
2.299999999999999822e-01 -6.295303985512620493e+00
2.324999999999999845e-01 -6.442395309219134170e+00
2.349999999999999867e-01 -6.407162133868787635e+00
2.374999999999999889e-01 -6.317066057975970317e+00
2.400000000000000189e-01 -5.979679786182951595e+00
2.425000000000000211e-01 -6.079768342635108347e+00
2.449999999999999956e-01 -6.123832274694671618e+00
2.475000000000000255e-01 -5.842537015466142236e+00
2.500000000000000000e-01 -5.704237483011084464e+00
2.525000000000000022e-01 -5.456111589193888278e+00
2.550000000000000044e-01 -5.245553324174678345e+00
2.575000000000000067e-01 -5.118929968504228434e+00
2.600000000000000089e-01 -4.691339269201305839e+00
2.625000000000000111e-01 -4.511422173469126662e+00
2.650000000000000133e-01 -4.300365979811266115e+00
2.674999999999999600e-01 -4.014844804318496330e+00
2.700000000000000178e-01 -3.831715957784635140e+00
2.724999999999999645e-01 -3.644467122596601438e+00
2.750000000000000222e-01 -3.228473675776497132e+00
2.774999999999999689e-01 -3.161787329588895634e+00
2.800000000000000266e-01 -2.977709042169297327e+00
2.824999999999999734e-01 -2.679645965032934729e+00
2.850000000000000311e-01 -2.608821805658476656e+00
2.874999999999999778e-01 -2.425654389813449274e+00
2.900000000000000355e-01 -2.396059779806373857e+00
2.924999999999999822e-01 -2.269904651634579107e+00
2.949999999999999845e-01 -2.165262896493922007e+00
2.974999999999999867e-01 -1.865331781986814041e+00
2.999999999999999889e-01 -2.025823686553864800e+00
3.024999999999999911e-01 -1.725366445309172603e+00
3.049999999999999933e-01 -1.720734942846048332e+00
3.074999999999999956e-01 -1.721476820273756925e+00
3.099999999999999978e-01 -1.838562470463162679e+00
3.125000000000000000e-01 -1.911893801078974997e+00
3.150000000000000022e-01 -1.967960368781348279e+00
3.175000000000000044e-01 -1.821919527964347640e+00
3.200000000000000067e-01 -2.196624698633806716e+00
3.225000000000000089e-01 -2.161596972295282804e+00
3.250000000000000111e-01 -2.374776563396622908e+00
3.275000000000000133e-01 -2.359451965233123616e+00
3.300000000000000155e-01 -2.421369287924363345e+00
3.325000000000000178e-01 -2.712652746612491228e+00
3.350000000000000200e-01 -2.994094954192382474e+00
3.375000000000000222e-01 -3.079947521322555115e+00
3.400000000000000244e-01 -3.312142046504261916e+00
3.425000000000000266e-01 -3.250504536701545710e+00
3.450000000000000289e-01 -3.498954415140940188e+00
3.475000000000000311e-01 -3.655928704728880874e+00
3.499999999999999778e-01 -3.868455349913294761e+00
3.525000000000000355e-01 -4.008156266271900137e+00
3.549999999999999822e-01 -3.867084902474491326e+00
3.575000000000000400e-01 -4.284845017210215268e+00
3.599999999999999867e-01 -4.577547794063105968e+00
3.625000000000000444e-01 -4.510041172316672231e+00
3.649999999999999911e-01 -4.574290732267993320e+00
3.675000000000000488e-01 -4.619491818729240862e+00
3.699999999999999956e-01 -4.702728541907300830e+00
3.725000000000000533e-01 -4.906090113880182457e+00
3.750000000000000000e-01 -4.948355622220079297e+00
3.775000000000000022e-01 -5.030549931772096528e+00
3.800000000000000044e-01 -4.843619093888029248e+00
3.825000000000000067e-01 -5.083319098158352034e+00
3.850000000000000089e-01 -5.193630097270760970e+00
3.875000000000000111e-01 -5.074801704332188912e+00
